,ID,Name,Department,Major/Minor,Date,Frequency,2023/1,2023/2,2023/3,2023/4,2023/5,2023/6,2023/7,2023/8,2023/9,2023/10,2023/11,2023/12
49,LT-009,Hermle Centrifuge,GLP,Minor,2022/11,12,,,,,,,,,,,,
50,LT-010,Hermle Centrifuge,GLP,Minor,2022/11,12,,,,,,,,,,,,
51,STORE-01,Storage on SM,GLP,Minor,2022/11,12,,,,,,,,,,,,
52,NKĐT-8,Electronic thermometer,Hematology - Coagulation,Minor,2023/02,12,,True,,,,,,,,,,
53,PP-10,Finnpipette,Hematology - Coagulation,Minor,2023/02,12,,True,,,,,,,,,,
54,PP-14,Pipette Eppendorf,Hematology - Coagulation,Minor,2023/02,12,,True,,,,,,,,,,
55,TL-008,Refrigerator SANAKY 800L,Hematology - Coagulation,Major,2023/04,12,,,,True,,,,,,,,
56,ATSH-02,Class II Biosafety Cabinet,Microbiology,Major,2023/04,12,,,,True,,,,,,,,
57,ATSH-03,Class II Biosafety Cabinet,Microbiology,Major,2023/04,12,,,,True,,,,,,,,
58,ATSH-04,Class II Biosafety Cabinet,Microbiology,Major,2023/04,12,,,,True,,,,,,,,
59,CAN-01,Electronic scales,Microbiology,Minor,2023/04,12,,,,True,,,,,,,,
60,DD-01,Turbidimeter,Microbiology,Major,2021/12,12,,,,,,,,,,,,
61,ML-01,Shaker,Microbiology,Major,2023/02,12,,True,,,,,,,,,,
62,NAK-02,Thermo hygrometer,Microbiology,Minor,2023/05,12,,,,,True,,,,,,,
63,NH-01,Autoclaves SA - 300VF,Microbiology,Major,2023/04,12,,,,True,,,,,,,,
64,NH-02,Autoclaves SA - 300VF,Microbiology,Major,2023/04,12,,,,True,,,,,,,,
65,NH-03,Loop sterilizer,Microbiology,Major,2023/04,12,,,,True,,,,,,,,
66,NK - 02,Thermometer,Microbiology,Minor,2023/05,12,,,,,True,,,,,,,
67,NK - 03,Thermometer,Microbiology,Minor,2023/05,12,,,,,True,,,,,,,
68,NK-01,Thermometer,Microbiology,Minor,2022/05,12,,,,,,,,,,,,
69,PP - 02,Pipette 10-100,Microbiology,Minor,2023/05,12,,,,,True,,,,,,,
70,PP - 03,Pipette 0.5-10,Microbiology,Minor,2023/05,12,,,,,True,,,,,,,
71,TL-01,Refrigerator Sanaky,Microbiology,Major,2023/04,12,,,,True,,,,,,,,
72,TL-02,Refrigerator Sanaky,Microbiology,Major,2023/04,12,,,,True,,,,,,,,
73,TU-01,"Firlabo Incubator 37°C 
",Microbiology,Major,2023/04,12,,,,True,,,,,,,,
74,BSC-01,Class II Biosafety Cabinet,Molecular Biology,Major,2023/04,12,,,,True,,,,,,,,
75,BSC-02,Class II Biosafety Cabinet,Molecular Biology,Major,2023/02,12,,True,,,,,,,,,,
76,BSC-03,Class II Biosafety Cabinet,Molecular Biology,Major,2023/02,12,,True,,,,,,,,,,
77,CF-01,Refrigerator 2-8oC,Molecular Biology,Major,2023/02,12,,True,,,,,,,,,,
78,CF-02,Refrigerator 2-8oC,Molecular Biology,Major,2023/02,12,,True,,,,,,,,,,
79,CF-03,Refrigerator 2-8oC,Molecular Biology,Major,2023/02,12,,True,,,,,,,,,,
80,DF-01,Refrigerator -20oC,Molecular Biology,Major,2023/02,12,,True,,,,,,,,,,
81,DF-02,Refrigerator -70oC,Molecular Biology,Major,2023/02,12,,True,,,,,,,,,,
82,FAM002302_1,Pipette 0.2-2ul,Molecular Biology,Minor,2023/02,12,,True,,,,,,,,,,
83,FAM002302_2,Pipette 0.2-2ul,Molecular Biology,Minor,2023/02,12,,True,,,,,,,,,,
84,FAM002302_3,Pipette 0.2-2ul,Molecular Biology,Minor,2023/02,12,,True,,,,,,,,,,
85,FAM002303,Pipette 100-1000ul,Molecular Biology,Minor,2021/11,12,,,,,,,,,,,,
86,FAM002303_1,Pipette 100-1000ul,Molecular Biology,Minor,2023/02,12,,True,,,,,,,,,,
87,FAM002303_2,Pipette 100-1000ul,Molecular Biology,Minor,2023/02,12,,True,,,,,,,,,,
88,FAM002305_1,Pipette 1-10ul,Molecular Biology,Minor,2023/02,12,,True,,,,,,,,,,
89,FAM002305_2,Pipette 1-10ul,Molecular Biology,Minor,2023/02,12,,True,,,,,,,,,,
90,FAM002305_3,Pipette 1-10ul,Molecular Biology,Minor,2023/02,12,,True,,,,,,,,,,
91,FAM002306_1,Pipette 20-200ul,Molecular Biology,Minor,2023/02,12,,True,,,,,,,,,,
92,FAM002306_2,Pipette 20-200ul,Molecular Biology,Minor,2023/02,12,,True,,,,,,,,,,
93,FAM002306_3,Pipette 20-200ul,Molecular Biology,Minor,2023/02,12,,True,,,,,,,,,,
94,LT-01,Centrifuge,Molecular Biology,Major,2023/04,12,,,,True,,,,,,,,
95,LT-02,Cold Centrifuge,Molecular Biology,Major,2023/02,12,,True,,,,,,,,,,
96,MC-01,Agilent Microplate Centrifuge,Molecular Biology,Major,2023/02,12,,True,,,,,,,,,,
97,MS-01,Minispin,Molecular Biology,Minor,2023/02,12,,True,,,,,,,,,,
98,MVT-01,Multi-tube Vortexer,Molecular Biology,Minor,2023/02,12,,True,,,,,,,,,,
99,MVT-02,Multi-tube Vortexer,Molecular Biology,Minor,2023/02,12,,True,,,,,,,,,,
100,NH-04,Autoclaves,Molecular Biology,Major,2023/02,12,,True,,,,,,,,,,
